PANEL_ID,NAME,ZONE,DESIGN_FUNCTION,BOUNDARY_REASON,DONOR_INTERFACE,MOUNTING,REMOVABLE,FLANGE,INTERLOCK,THICKNESS,PRINT_ORIENTATION,SPLIT_STRATEGY,SUPPORT,TRIM_ALLOWANCE_MM,ASSEMBLY_STEP,INSTALL_VECTOR,ACCESS,SHAPE_DRIVER,INTERFACE_CLASS,SCAN_STATUS,READINESS,RISK,STATUS
P01,FRONT_FASCIA,FRONT,the wedge nose and its face,our nose form; the donor only sets how far forward it may sit,"crash beam position and its brackets — the STATEV nose sits 57 mm behind the OEM bumper face, bumper and fender mounting points, radiator position and the space in front of it",bolts through flange into donor threads. Positions SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits at the centreline and behind the light blade,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",15,3,+X,removable for crash-beam access,OURS,C,RED,READY NOW,MEDIUM,"PROPOSED, not approved"
P28,FRONT_SPLITTER_L,FRONT,"lower aero lip, left half; first thing to ground out","our splitter; the first thing to ground out, so replaceable alone","crash beam position and its brackets — the STATEV nose sits 57 mm behind the OEM bumper face, bumper and fender mounting points, radiator position and the space in front of it","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",no centreline split needed: the nose mouth already ends it at the centre,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",10,4,+Z,replaceable alone without disturbing the fascia,OURS,C,RED,READY NOW,MEDIUM,"PROPOSED, not approved"
P41,FRONT_SPLITTER_R,FRONT,"lower aero lip, right half; first thing to ground out","our splitter; the first thing to ground out, so replaceable alone","crash beam position and its brackets — the STATEV nose sits 57 mm behind the OEM bumper face, bumper and fender mounting points, radiator position and the space in front of it","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",no centreline split needed: the nose mouth already ends it at the centre,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",10,4,+Z,replaceable alone without disturbing the fascia,OURS,C,RED,READY NOW,MEDIUM,"PROPOSED, not approved"
P02,HOOD,FRONT,"long low hood, two faint tension zones",outer shape ours; rear edge lands on the donor cowl,"hinge positions and swing arc, frunk aperture and its flange, washer bottle / latch",bolts through flange into donor threads. Positions SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","splits across, behind the vents","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",15,5,-Z,opens for frunk; hinge arc SCAN REQUIRED,MIXED,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P03,FRONT_FENDER_L,FRONT,sculpted fender over the front wheel,arch opening and the front shut line govern it,"fender mounting points, wheelhouse liner and its clearance, steering lock envelope — the kingpin axis is unknown, so the swept volume is a worst case",bolts through flange into donor threads. Positions SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits at the arch crown,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",20,5,-Y,off for wheelhouse and suspension,DONOR,C,YELLOW,SCAN REQUIRED,MEDIUM,"PROPOSED, not approved"
P04,FRONT_FENDER_R,FRONT,sculpted fender over the front wheel,arch opening and the front shut line govern it,"fender mounting points, wheelhouse liner and its clearance, steering lock envelope — the kingpin axis is unknown, so the swept volume is a worst case",bolts through flange into donor threads. Positions SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits at the arch crown,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",20,5,+Y,off for wheelhouse and suspension,DONOR,C,YELLOW,SCAN REQUIRED,MEDIUM,"PROPOSED, not approved"
P05,FENDER_CHANNEL_L,FRONT,insert closing the fender channel,insert inside our own channel,"fender mounting points, wheelhouse liner and its clearance, steering lock envelope — the kingpin axis is unknown, so the swept volume is a worst case","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece on any machine,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",8,6,-Y,clips out from inside the channel,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P06,FENDER_CHANNEL_R,FRONT,insert closing the fender channel,insert inside our own channel,"fender mounting points, wheelhouse liner and its clearance, steering lock envelope — the kingpin axis is unknown, so the swept volume is a worst case","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece on any machine,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",8,6,+Y,clips out from inside the channel,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P29,HEADLIGHT_SURROUND_L,FRONT,body-colour surround framing the light blade,body-colour surround around a bought module; the module is fixed,"the front structure the housing bolts to, beam aim check on the real car","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",8,7,+X,off with the fascia,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P30,HEADLIGHT_SURROUND_R,FRONT,body-colour surround framing the light blade,body-colour surround around a bought module; the module is fixed,"the front structure the housing bolts to, beam aim check on the real car","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",8,7,+X,off with the fascia,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P07,ROCKER_L,SIDE,thin structural rocker blade,outer form ours; the sill profile governs where it can bond,"sill profile and where a bonded flange can land, jack point access after the panel is on",bonded flange to donor sheet + mechanical at the ends. Points SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits at the door shut line,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",12,8,-Y,jack points must stay usable with it on,MIXED,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P08,ROCKER_R,SIDE,thin structural rocker blade,outer form ours; the sill profile governs where it can bond,"sill profile and where a bonded flange can land, jack point access after the panel is on",bonded flange to donor sheet + mechanical at the ends. Points SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits at the door shut line,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",12,8,+Y,jack points must stay usable with it on,MIXED,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P39,ROCKER_END_L,SIDE,"corner between the rear wheel and the fascia, below the rocker line","our corner behind the rear wheel; all four of its edges are ours or published, so nothing donor-derived shapes it","sill profile and where a bonded flange can land, jack point access after the panel is on","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece at 264 mm long on any plausible machine,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",12,8,-Y,sits ahead of the exhaust exit; heat path SCAN REQUIRED,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P40,ROCKER_END_R,SIDE,"corner between the rear wheel and the fascia, below the rocker line","our corner behind the rear wheel; all four of its edges are ours or published, so nothing donor-derived shapes it","sill profile and where a bonded flange can land, jack point access after the panel is on","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece at 264 mm long on any plausible machine,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",12,8,+Y,sits ahead of the exhaust exit; heat path SCAN REQUIRED,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P09,DOOR_SKIN_L,SIDE,door skin overlay carrying the side channel,"overlay on the OEM door skin, between two donor shut lines","the OEM door's outer surface — the new skin is an overlay and must sit on it, hinge and check-strap positions, glass drop path and seal line",bonded to the OEM door skin; no fasteners through the door. SCAN REQUIRED for the surface it sits on.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","splits at the channel, hidden in the void","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",10,9,-Y,door must open and the glass must drop,DONOR,C,YELLOW,SCAN REQUIRED,MEDIUM,"PROPOSED, not approved"
P10,DOOR_SKIN_R,SIDE,door skin overlay carrying the side channel,"overlay on the OEM door skin, between two donor shut lines","the OEM door's outer surface — the new skin is an overlay and must sit on it, hinge and check-strap positions, glass drop path and seal line",bonded to the OEM door skin; no fasteners through the door. SCAN REQUIRED for the surface it sits on.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","splits at the channel, hidden in the void","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",10,9,+Y,door must open and the glass must drop,DONOR,C,YELLOW,SCAN REQUIRED,MEDIUM,"PROPOSED, not approved"
P37,MIRROR_CAP_L,SIDE,cap over the OEM mirror body,cap over the OEM mirror body — its inner surface must match it,"the OEM door's outer surface — the new skin is an overlay and must sit on it, hinge and check-strap positions, glass drop path and seal line",clips onto the OEM mirror. Its inner surface must match a mirror nobody has measured: SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",5,10,-Y,clips off by hand,DONOR,C,YELLOW,SCAN REQUIRED,MEDIUM,"PROPOSED, not approved"
P38,MIRROR_CAP_R,SIDE,cap over the OEM mirror body,cap over the OEM mirror body — its inner surface must match it,"the OEM door's outer surface — the new skin is an overlay and must sit on it, hinge and check-strap positions, glass drop path and seal line",clips onto the OEM mirror. Its inner surface must match a mirror nobody has measured: SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",5,10,+Y,clips off by hand,DONOR,C,YELLOW,SCAN REQUIRED,MEDIUM,"PROPOSED, not approved"
