PANEL,NAME,SHAPE_STATUS,SCAN_DEPENDENCY,DONOR_INTERFACE,PANEL_BOUNDARY,THICKNESS,SPLIT,FLANGE,FASTENING,PRINT_ORIENTATION,SUPPORT_STRATEGY,FIT_TEST_REQUIRED,BLOCKER,VERDICT,CATEGORY,PROOF,X_SPAN
P01,FRONT_FASCIA,"ours, provable",datum only,"crash beam position and its brackets — the STATEV nose sits 57 mm behind the OEM bumper face, bumper and fender mounting points, radiator position and the space in front of it",our nose form; the donor only sets how far forward it may sit,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",splits at the centreline and behind the light blade,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bolts through flange into donor threads. Positions SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.","yes, but only the interface",none,PROCEED,1,"measured: no approx donor value moves its boundary, and the cabin cut -- the only thing cowl_x and hoop_x reshape -- does not reach it",-950..-655
P28,FRONT_SPLITTER_L,"ours, provable",datum only,"crash beam position and its brackets — the STATEV nose sits 57 mm behind the OEM bumper face, bumper and fender mounting points, radiator position and the space in front of it","our splitter; the first thing to ground out, so replaceable alone","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",no centreline split needed: the nose mouth already ends it at the centre,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.","yes, but only the interface",none,PROCEED,1,"measured: no approx donor value moves its boundary, and the cabin cut -- the only thing cowl_x and hoop_x reshape -- does not reach it",-950..-655
P41,FRONT_SPLITTER_R,"ours, provable",datum only,"crash beam position and its brackets — the STATEV nose sits 57 mm behind the OEM bumper face, bumper and fender mounting points, radiator position and the space in front of it","our splitter; the first thing to ground out, so replaceable alone","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",no centreline split needed: the nose mouth already ends it at the centre,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.","yes, but only the interface",none,PROCEED,1,"measured: no approx donor value moves its boundary, and the cabin cut -- the only thing cowl_x and hoop_x reshape -- does not reach it",-950..-655
P02,HOOD,"ours, provable",datum only,"hinge positions and swing arc, frunk aperture and its flange, washer bottle / latch",outer shape ours; rear edge lands on the donor cowl,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","splits across, behind the vents","20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bolts through flange into donor threads. Positions SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.","yes, but only the interface",none,PROCEED,1,"measured: no approx donor value moves its boundary, and the cabin cut -- the only thing cowl_x and hoop_x reshape -- does not reach it",-655..420
P03,FRONT_FENDER_L,ours between donor bounds,boundary position only,"fender mounting points, wheelhouse liner and its clearance, steering lock envelope — the kingpin axis is unknown, so the swept volume is a worst case",arch opening and the front shut line govern it,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",splits at the arch crown,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bolts through flange into donor threads. Positions SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,docs/13 supplier answers only,CONDITIONAL,2,measured: boundary moves with door_front_x,-655..440
P04,FRONT_FENDER_R,ours between donor bounds,boundary position only,"fender mounting points, wheelhouse liner and its clearance, steering lock envelope — the kingpin axis is unknown, so the swept volume is a worst case",arch opening and the front shut line govern it,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",splits at the arch crown,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bolts through flange into donor threads. Positions SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,docs/13 supplier answers only,CONDITIONAL,2,measured: boundary moves with door_front_x,-655..440
P05,FENDER_CHANNEL_L,"UNPROVEN, no geometry",unknown until it exists,"fender mounting points, wheelhouse liner and its clearance, steering lock envelope — the kingpin axis is unknown, so the swept volume is a worst case",insert inside our own channel,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece on any machine,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P06,FENDER_CHANNEL_R,"UNPROVEN, no geometry",unknown until it exists,"fender mounting points, wheelhouse liner and its clearance, steering lock envelope — the kingpin axis is unknown, so the swept volume is a worst case",insert inside our own channel,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece on any machine,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P29,HEADLIGHT_SURROUND_L,"UNPROVEN, no geometry",unknown until it exists,"the front structure the housing bolts to, beam aim check on the real car",body-colour surround around a bought module; the module is fixed,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P30,HEADLIGHT_SURROUND_R,"UNPROVEN, no geometry",unknown until it exists,"the front structure the housing bolts to, beam aim check on the real car",body-colour surround around a bought module; the module is fixed,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
