ID,PART,SIDE,GROUP,ASSEMBLY_STEP,INSTALL_VECTOR,METHOD,SHAPE_DRIVER,INTERFACE_CLASS,REMOVABLE,SCAN_STATUS,INTERFACES_ABC,SHAPE_GOVERNED_BY
P01,FRONT_FASCIA,-,FRONT,3,+X,printed master -> composite,OURS,C,yes,RED,A2 B1 C3,our nose form; the donor only sets how far forward it may sit
P28,FRONT_SPLITTER_L,L,FRONT,4,+Z,printed master -> composite,OURS,C,yes,RED,A2 B1 C3,"our splitter; the first thing to ground out, so replaceable alone"
P41,FRONT_SPLITTER_R,R,FRONT,4,+Z,printed master -> composite,OURS,C,yes,RED,A2 B1 C3,"our splitter; the first thing to ground out, so replaceable alone"
P02,HOOD,-,FRONT,5,-Z,printed master -> composite,MIXED,C,yes,YELLOW,A1 B2 C3,outer shape ours; rear edge lands on the donor cowl
P03,FRONT_FENDER_L,L,FRONT,5,-Y,printed master -> composite,DONOR,C,yes,YELLOW,A2 B1 C3,arch opening and the front shut line govern it
P04,FRONT_FENDER_R,R,FRONT,5,+Y,printed master -> composite,DONOR,C,yes,YELLOW,A2 B1 C3,arch opening and the front shut line govern it
P05,FENDER_CHANNEL_L,L,FRONT,6,-Y,direct print,OURS,C,yes,YELLOW,A2 B1 C3,insert inside our own channel
P06,FENDER_CHANNEL_R,R,FRONT,6,+Y,direct print,OURS,C,yes,YELLOW,A2 B1 C3,insert inside our own channel
P29,HEADLIGHT_SURROUND_L,L,FRONT,7,+X,printed master -> composite,OURS,C,yes,YELLOW,A0 B0 C2,body-colour surround around a bought module; the module is fixed
P30,HEADLIGHT_SURROUND_R,R,FRONT,7,+X,printed master -> composite,OURS,C,yes,YELLOW,A0 B0 C2,body-colour surround around a bought module; the module is fixed
P07,ROCKER_L,L,SIDE,8,-Y,printed master -> composite,MIXED,C,yes,YELLOW,A2 B2 C2,outer form ours; the sill profile governs where it can bond
P08,ROCKER_R,R,SIDE,8,+Y,printed master -> composite,MIXED,C,yes,YELLOW,A2 B2 C2,outer form ours; the sill profile governs where it can bond
P39,ROCKER_END_L,L,SIDE,8,-Y,printed master -> composite,OURS,C,yes,YELLOW,A2 B2 C2,"our corner behind the rear wheel; all four of its edges are ours or published, so nothing donor-derived shapes it"
P40,ROCKER_END_R,R,SIDE,8,+Y,printed master -> composite,OURS,C,yes,YELLOW,A2 B2 C2,"our corner behind the rear wheel; all four of its edges are ours or published, so nothing donor-derived shapes it"
P09,DOOR_SKIN_L,L,SIDE,9,-Y,printed master -> composite,DONOR,C,yes,YELLOW,A0 B2 C3,"overlay on the OEM door skin, between two donor shut lines"
P10,DOOR_SKIN_R,R,SIDE,9,+Y,printed master -> composite,DONOR,C,yes,YELLOW,A0 B2 C3,"overlay on the OEM door skin, between two donor shut lines"
P37,MIRROR_CAP_L,L,SIDE,10,-Y,"direct print, ASA",DONOR,C,yes,YELLOW,A0 B2 C3,cap over the OEM mirror body — its inner surface must match it
P38,MIRROR_CAP_R,R,SIDE,10,+Y,"direct print, ASA",DONOR,C,yes,YELLOW,A0 B2 C3,cap over the OEM mirror body — its inner surface must match it
P11,SIDE_INTAKE_L,L,SIDE,11,-Y,printed master -> composite,DONOR,C,yes,RED,A0 B1 C3,the real opening behind it governs the mouth
P12,SIDE_INTAKE_R,R,SIDE,11,+Y,printed master -> composite,DONOR,C,yes,RED,A0 B1 C3,the real opening behind it governs the mouth
P31,INTAKE_DUCT_L,L,SIDE,12,-Y,direct print,DONOR,C,yes,RED,A0 B1 C3,what the eye sees through the intake; the real opening governs it
P32,INTAKE_DUCT_R,R,SIDE,12,+Y,direct print,DONOR,C,yes,RED,A0 B1 C3,what the eye sees through the intake; the real opening governs it
P13,INTAKE_BLADE_L,L,SIDE,13,-Y,direct print or CNC,OURS,C,yes,RED,A0 B1 C3,blade inside our own mouth
P14,INTAKE_BLADE_R,R,SIDE,13,+Y,direct print or CNC,OURS,C,yes,RED,A0 B1 C3,blade inside our own mouth
P15,REAR_HAUNCH_L,L,REAR,14,-Y,printed master -> composite,DONOR,C,no,RED,A3 B0 C3,overlay bonded to the welded quarter; the quarter governs it
P16,REAR_HAUNCH_R,R,REAR,14,+Y,printed master -> composite,DONOR,C,no,RED,A3 B0 C3,overlay bonded to the welded quarter; the quarter governs it
P17,BUTTRESS_L,L,REAR,15,-Z,printed master -> composite,MIXED,C,no,YELLOW,A2 B3 C2,"our blade, but it sits in the roof fold envelope"
P18,BUTTRESS_R,R,REAR,15,-Z,printed master -> composite,MIXED,C,no,YELLOW,A2 B3 C2,"our blade, but it sits in the roof fold envelope"
P19,REAR_DECK_L,L,REAR,16,-Z,printed master -> composite,MIXED,C,no,RED,A0 B3 C3,"our deck, height governed by the roof fold envelope"
P42,REAR_DECK_R,R,REAR,16,-Z,printed master -> composite,MIXED,C,no,RED,A0 B3 C3,"our deck, height governed by the roof fold envelope"
P20,ENGINE_COVER,-,REAR,17,-Z,printed master -> composite,MIXED,C,yes,RED,A0 B1 C3,"our cover, aperture governed by the donor engine lid"
P33,ENGINE_COVER_LOUVRES,-,REAR,18,-Z,direct print,MIXED,C,yes,RED,A0 B1 C3,our louvres; the engine lid aperture governs where they can sit
P21,REAR_FASCIA,-,REAR,19,-X,printed master -> composite,OURS,C,yes,YELLOW,A1 B1 C2,our rear form
P34,REAR_CENTRE_MASK,-,REAR,20,-X,direct print,OURS,C,yes,YELLOW,A1 B1 C2,our centre mask between the light bar and the diffuser
P36,PLATE_RECESS,-,REAR,21,-X,direct print,OURS,C,yes,YELLOW,A1 B1 C2,"our recess; the plate size is legislated, not donor"
P22,DIFFUSER,-,REAR,22,-X,printed master -> composite,OURS,C,yes,RED,A1 B0 C3,our diffuser; only its top edge meets the donor floor
P35,EXHAUST_SURROUND,-,REAR,23,-X,"direct print, heat-capable",OURS,C,yes,YELLOW,A1 B1 C2,our surround around bought tips; sees exhaust heat
P23,REAR_SPOILER,-,REAR,24,-Z,direct print or composite,OURS,C,yes,RED,A0 B0 C1,our ducktail
P24,HEADLIGHT_HOUSING_L,L,LIGHTS,25,+X,"direct print, ASA",OURS,C,yes,YELLOW,A0 B0 C2,housing around a bought E-marked module; the module is fixed
P25,HEADLIGHT_HOUSING_R,R,LIGHTS,25,+X,"direct print, ASA",OURS,C,yes,YELLOW,A0 B0 C2,housing around a bought E-marked module; the module is fixed
P26,TAIL_HOUSING_L,L,LIGHTS,26,-X,"direct print, ASA",OURS,C,yes,YELLOW,A0 B0 C1,housing around a bought E-marked module; the module is fixed
P27,TAIL_HOUSING_R,R,LIGHTS,26,-X,"direct print, ASA",OURS,C,yes,YELLOW,A0 B0 C1,housing around a bought E-marked module; the module is fixed
