PANEL,NAME,SECTION,X_MM,Y_MM,Z_MM,FITS_BED,PIECES_IN_FILE,CLASS_A_UP,PLACE_RX,PLACE_RY,PLACE_RZ,PLACE_X_MM,PLACE_Y_MM,PLACE_Z_MM,WHAT_IS_MISSING,FILE
P03,FRONT_FENDER_L,s01,230.0,291.2,91.5,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,833.6,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s01.stl
P03,FRONT_FENDER_L,s02,90.5,77.9,30.6,yes,1,yes,-90.0,-0.0,-0.0,0.0,850.7,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s02.stl
P03,FRONT_FENDER_L,s03,250.9,288.0,103.3,yes,1,yes,-90.0,-0.0,-0.0,0.0,808.6,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s03.stl
P03,FRONT_FENDER_L,s04,310.2,255.1,229.7,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,654.9,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s04.stl
P03,FRONT_FENDER_L,s05,76.1,115.5,32.5,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,636.1,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s05.stl
P03,FRONT_FENDER_L,s06,39.5,115.1,11.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,663.4,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s06.stl
P03,FRONT_FENDER_L,s07,39.5,115.2,11.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,663.4,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s07.stl
P03,FRONT_FENDER_L,s08,39.4,115.0,6.3,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,671.2,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s08.stl
P03,FRONT_FENDER_L,s09,39.4,115.0,6.3,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,671.2,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s09.stl
P03,FRONT_FENDER_L,s10,20.8,115.1,8.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,660.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s10.stl
